0 0  957 2606
0 1  1607 3066
0 2  842 1526
0 3  1240 2264
0 4  1018 2442
0 5  939 1870
0 6  1139 2144
0 7  1029 1878
0 8  937 1501
0 9  1507 2411
0 10  649 1924
1 0  552 1064
1 1  782 2063
1 2  1359 3430
1 3  915 2473
1 4  779 1394
1 5  850 2536
1 6  1453 2180
1 7  1308 2137
1 8  1098 2289
1 9  412 1477
1 10  2818 3870
2 0  1146 1872
2 1  718 1636
2 2  1206 2271
2 3  568 1761
2 4  1007 1574
2 5  862 2452
2 6  924 2593
2 7  1065 2496
2 8  723 1808
2 9  1088 2543
2 10  1538 2607
3 0  987 2047
3 1  1310 2734
3 2  1103 2356
3 3  699 1511
3 4  1650 2948
3 5  1125 2417
3 6  1161 2596
3 7  630 1622
3 8  697 1678
3 9  1281 2820
3 10  833 1381
4 0  787 1471
4 1  886 2023
4 2  1220 1828
4 3  765 2155
4 4  756 1766
4 5  1509 2449
4 6  1221 2372
4 7  889 2162
4 8  871 2655
4 9  1163 2065
4 10  484 1762
5 0  1536 3060
5 1  866 2710
5 2  1095 1961
5 3  1288 2300
5 4  1827 2529
5 5  891 2181
5 6  1874 2579
5 7  650 1387
5 8  1020 2150
5 9  897 1704
5 10  805 2476
6 0  1698 2162
6 1  1286 2515
6 2  988 2309
6 3  1757 2766
6 4  864 2108
6 5  1070 2092
6 6  875 2371
6 7  1705 3717
6 8  1637 3988
6 9  2115 3309
6 10  975 1591
7 0  602 1503
7 1  949 1888
7 2  1071 2044
7 3  1087 2364
7 4  819 1827
7 5  1448 2394
7 6  1125 2563
7 7  1686 2962
7 8  965 2054
7 9  728 1930
7 10  1079 2082
8 0  1860 3427
8 1  1056 2593
8 2  845 1947
8 3  1024 1840
8 4  1427 3013
8 5  1250 2659
8 6  761 2378
8 7  757 2735
8 8  1240 2103
8 9  1323 2365
8 10  1457 2997
9 0  768 1854
9 1  1516 2404
9 2  1390 2938
9 3  1159 2097
9 4  1323 2733
9 5  713 2135
9 6  837 2013
9 7  684 1818
9 8  1603 2271
9 9  1832 4158
9 10  1527 3040
10 0  1105 2827
10 1  1270 2593
10 2  812 2158
10 3  1455 2525
10 4  1060 2338
10 5  983 2234
10 6  1345 2298
10 7  1782 2652
10 8  647 2459
10 9  1197 2410
10 10  1158 2179
