0 0  1008 1971
0 1  1252 2630
0 2  1790 3512
0 3  1156 2117
0 4  1173 1976
0 5  1215 2029
0 6  913 1937
0 7  823 2022
0 8  1086 1896
0 9  1208 2265
0 10  1180 2867
1 0  1855 2994
1 1  785 1929
1 2  1620 4067
1 3  1505 2814
1 4  884 1974
1 5  1001 2167
1 6  1500 2683
1 7  610 1981
1 8  1104 2201
1 9  902 1744
1 10  1081 1982
2 0  871 2012
2 1  931 2560
2 2  480 1911
2 3  812 1809
2 4  1232 2583
2 5  1406 4055
2 6  762 1852
2 7  971 2136
2 8  1295 2119
2 9  752 1487
2 10  999 2757
3 0  2091 3263
3 1  1053 2487
3 2  1198 2466
3 3  878 1983
3 4  1282 2388
3 5  595 1810
3 6  1247 2535
3 7  685 1497
3 8  997 1599
3 9  733 2156
3 10  1145 1930
4 0  1260 2896
4 1  1814 3158
4 2  823 1677
4 3  1780 2589
4 4  561 1678
4 5  945 2684
4 6  1322 2413
4 7  1452 2305
4 8  1108 2153
4 9  793 1980
4 10  1343 2195
5 0  759 2174
5 1  1087 2226
5 2  1400 3023
5 3  1024 2296
5 4  1229 1898
5 5  627 1247
5 6  1155 2485
5 7  937 1840
5 8  1855 2633
5 9  1061 2010
5 10  622 1594
6 0  1342 4141
6 1  896 2022
6 2  2191 3482
6 3  696 1797
6 4  919 2153
6 5  1412 2413
6 6  1439 2342
6 7  1217 2712
6 8  1269 2489
6 9  637 2156
6 10  1914 3250
7 0  726 2197
7 1  860 1785
7 2  535 1858
7 3  867 2067
7 4  642 1983
7 5  585 2116
7 6  1802 2819
7 7  1017 2316
7 8  1360 3128
7 9  998 2574
7 10  1399 2191
8 0  1628 2439
8 1  861 1928
8 2  1829 3931
8 3  788 1969
8 4  647 1205
8 5  1077 2030
8 6  1044 2401
8 7  1048 2197
8 8  1216 2142
8 9  1451 2409
8 10  1616 2961
9 0  1353 2666
9 1  1330 2863
9 2  1166 2118
9 3  1495 3420
9 4  1252 2107
9 5  1502 3087
9 6  908 2711
9 7  995 1607
9 8  1007 2139
9 9  1033 2145
9 10  1069 2354
10 0  573 1385
10 1  1609 3131
10 2  1185 2856
10 3  1204 2352
10 4  1223 2435
10 5  843 2427
10 6  846 2161
10 7  1034 2094
10 8  978 2137
10 9  1225 2185
10 10  864 2450
