0 0  892 2526
0 1  1222 2012
0 2  398 1269
0 3  1335 2698
0 4  753 1854
0 5  797 3077
0 6  1273 2182
0 7  1291 2361
0 8  1108 2508
0 9  900 1684
0 10  1101 2269
1 0  1450 2544
1 1  837 2062
1 2  559 2191
1 3  1681 3497
1 4  1318 2874
1 5  952 1587
1 6  847 2725
1 7  536 1972
1 8  799 1769
1 9  1220 2870
1 10  792 2360
2 0  1131 2041
2 1  1153 2137
2 2  1453 2639
2 3  1237 2562
2 4  914 2383
2 5  1523 2280
2 6  976 2168
2 7  1916 2856
2 8  827 1918
2 9  886 1993
2 10  1245 2493
3 0  1056 2471
3 1  1351 2393
3 2  1146 2367
3 3  860 2124
3 4  632 1751
3 5  1535 2703
3 6  554 1260
3 7  1217 2364
3 8  974 2845
3 9  432 1333
3 10  753 2581
4 0  1136 1671
4 1  967 1891
4 2  1809 3131
4 3  888 2460
4 4  787 2151
4 5  761 1956
4 6  1218 2766
4 7  622 2640
4 8  2303 3871
4 9  1433 2506
4 10  1124 2471
5 0  916 2232
5 1  1185 2623
5 2  1427 2632
5 3  1446 2465
5 4  1265 2280
5 5  1163 2582
5 6  1461 3387
5 7  1541 2865
5 8  1202 2351
5 9  1082 1971
5 10  850 2779
6 0  586 1277
6 1  1088 2814
6 2  1472 2673
6 3  672 1819
6 4  1046 2053
6 5  1810 2654
6 6  941 2403
6 7  1094 2704
6 8  1306 2640
6 9  1514 2351
6 10  1270 2888
7 0  1163 2446
7 1  699 2226
7 2  654 1631
7 3  714 2121
7 4  985 1934
7 5  1038 1825
7 6  1072 2537
7 7  1071 2240
7 8  1446 2105
7 9  1096 2267
7 10  616 1702
8 0  1126 2312
8 1  724 1630
8 2  1343 2198
8 3  1006 2664
8 4  1437 2795
8 5  1339 3223
8 6  736 2730
8 7  1185 1820
8 8  1183 2177
8 9  1182 2135
8 10  1618 2713
9 0  762 1724
9 1  914 2734
9 2  1605 2467
9 3  1311 3185
9 4  1609 2516
9 5  743 1883
9 6  558 1943
9 7  1012 1617
9 8  971 2707
9 9  1564 2101
9 10  749 1774
10 0  2245 3605
10 1  1480 2510
10 2  393 2028
10 3  1048 2586
10 4  599 1328
10 5  1266 3135
10 6  944 2152
10 7  1138 2193
10 8  1686 2797
10 9  1178 3094
10 10  1537 2168
