0 0  859 1994
0 1  716 1575
0 2  1285 2052
0 3  811 2138
0 4  719 2010
0 5  1589 2936
0 6  1213 1834
0 7  1879 2723
0 8  1122 2533
0 9  1625 2400
0 10  638 1669
1 0  1190 1951
1 1  1742 3110
1 2  1090 1986
1 3  427 1132
1 4  1426 2568
1 5  989 1906
1 6  884 1986
1 7  3035 3778
1 8  1231 2618
1 9  1503 2974
1 10  1919 3459
2 0  1023 2395
2 1  418 1514
2 2  1181 2285
2 3  1132 2101
2 4  1450 2822
2 5  1476 2900
2 6  889 2053
2 7  982 2625
2 8  489 2032
2 9  1958 2828
2 10  1551 2864
3 0  1428 2941
3 1  1466 2517
3 2  1206 2608
3 3  595 1776
3 4  1283 2321
3 5  626 1749
3 6  931 2132
3 7  729 1852
3 8  1943 3554
3 9  603 2216
3 10  1114 2001
4 0  858 1797
4 1  483 1686
4 2  1207 2696
4 3  1446 2548
4 4  977 1817
4 5  1398 2230
4 6  848 3178
4 7  1744 2512
4 8  890 1994
4 9  1079 2336
4 10  496 1507
5 0  825 1792
5 1  921 2722
5 2  1198 2273
5 3  1548 2620
5 4  932 1990
5 5  804 2770
5 6  886 1976
5 7  1031 2997
5 8  1250 2665
5 9  584 1964
5 10  1489 2786
6 0  1153 2104
6 1  1797 2603
6 2  1025 2712
6 3  975 2758
6 4  2144 3549
6 5  1217 2043
6 6  1353 2900
6 7  558 1055
6 8  1514 3228
6 9  1366 2171
6 10  1448 2189
7 0  626 2285
7 1  823 2172
7 2  781 2948
7 3  1291 2318
7 4  707 1845
7 5  724 1620
7 6  936 2326
7 7  1841 3256
7 8  873 1559
7 9  951 2847
7 10  616 1891
8 0  1438 2422
8 1  1256 2527
8 2  1590 2025
8 3  1738 2923
8 4  1012 2574
8 5  1228 2411
8 6  676 2016
8 7  959 1963
8 8  1360 2656
8 9  840 1809
8 10  1388 2785
9 0  1292 3123
9 1  1284 2785
9 2  1350 2925
9 3  939 1807
9 4  1677 2543
9 5  613 1576
9 6  1298 2953
9 7  1047 2060
9 8  1367 2848
9 9  858 1604
9 10  1302 2498
10 0  869 1566
10 1  1318 2294
10 2  1009 3133
10 3  1245 2486
10 4  800 2115
10 5  933 2255
10 6  961 1713
10 7  984 2620
10 8  1103 2456
10 9  1025 2419
10 10  933 2342
