0 0  633 1316
0 1  1315 2599
0 2  856 1727
0 3  1465 2397
0 4  1832 2570
0 5  1253 1780
0 6  671 2033
0 7  1049 1833
0 8  847 1177
0 9  1061 1912
0 10  1129 2102
1 0  1054 1933
1 1  933 1596
1 2  793 1309
1 3  1411 1839
1 4  712 1545
1 5  604 1035
1 6  593 1587
1 7  746 1457
1 8  931 2234
1 9  1465 2343
1 10  947 1778
2 0  835 1198
2 1  867 1389
2 2  577 1142
2 3  591 1543
2 4  896 1651
2 5  463 1047
2 6  1175 1736
2 7  2038 2648
2 8  1146 2602
2 9  811 1581
2 10  1237 1628
3 0  879 1299
3 1  838 1909
3 2  907 1501
3 3  895 1333
3 4  755 1347
3 5  1147 1800
3 6  476 1217
3 7  867 1604
3 8  698 1474
3 9  561 2044
3 10  1034 2594
4 0  1225 1913
4 1  545 1168
4 2  623 1266
4 3  996 1612
4 4  313 1233
4 5  943 1578
4 6  875 1333
4 7  593 1559
4 8  1028 2223
4 9  1482 2700
4 10  533 1416
5 0  1136 2193
5 1  858 1833
5 2  501 1347
5 3  1390 1829
5 4  606 1195
5 5  764 1321
5 6  1120 1956
5 7  641 1298
5 8  1177 2257
5 9  710 1697
5 10  814 1888
6 0  1160 1764
6 1  824 2088
6 2  679 1777
6 3  413 1230
6 4  971 1405
6 5  1593 2592
6 6  1500 2809
6 7  1460 2324
6 8  1138 1874
6 9  1180 2146
6 10  457 1909
7 0  757 1301
7 1  1688 2656
7 2  525 1353
7 3  1428 2214
7 4  670 1690
7 5  1212 1578
7 6  1076 2164
7 7  921 1839
7 8  656 2306
7 9  2072 3009
7 10  1917 2850
8 0  802 1465
8 1  776 1467
8 2  1041 2015
8 3  1162 1766
8 4  1023 1677
8 5  1300 1966
8 6  1301 2292
8 7  1214 1924
8 8  1544 2031
8 9  688 2006
8 10  1704 2864
9 0  717 2116
9 1  643 1381
9 2  873 1800
9 3  810 1640
9 4  657 1425
9 5  636 1357
9 6  1072 2196
9 7  490 1463
9 8  1152 2269
9 9  1302 2489
9 10  1811 4585
10 0  830 2571
10 1  1127 1874
10 2  1387 2281
10 3  929 2623
10 4  852 2445
10 5  1243 2046
10 6  745 2307
10 7  1590 3250
10 8  1359 2838
10 9  1710 2729
10 10  2055 3734
