0 0  717 2490
0 1  1015 1881
0 2  2078 2939
0 3  1205 2197
0 4  1026 1591
0 5  1739 3161
0 6  1192 2090
0 7  1429 2314
0 8  884 1137
0 9  944 1628
0 10  1331 2358
1 0  823 1159
1 1  1079 1539
1 2  1309 1930
1 3  1676 2281
1 4  912 1686
1 5  968 1795
1 6  1241 2274
1 7  946 1417
1 8  958 1795
1 9  1076 2092
1 10  998 2127
2 0  902 1775
2 1  846 1216
2 2  1119 1719
2 3  796 1675
2 4  1400 1956
2 5  870 1317
2 6  713 1667
2 7  882 2267
2 8  726 1609
2 9  1465 2119
2 10  1184 2134
3 0  1261 1683
3 1  1496 2701
3 2  1057 1578
3 3  762 1590
3 4  1252 1997
3 5  1240 2444
3 6  489 1520
3 7  1308 1899
3 8  468 1811
3 9  597 2022
3 10  641 1267
4 0  1209 1942
4 1  1116 1523
4 2  1409 1889
4 3  980 1680
4 4  942 1764
4 5  1115 2109
4 6  744 1388
4 7  1120 1873
4 8  776 1826
4 9  448 1407
4 10  1790 3266
5 0  1253 1914
5 1  699 1673
5 2  822 1880
5 3  506 1047
5 4  515 768
5 5  1380 1864
5 6  1113 1590
5 7  1186 1732
5 8  676 1484
5 9  1159 2122
5 10  836 2102
6 0  1616 2242
6 1  912 1326
6 2  1417 1768
6 3  640 1700
6 4  589 1165
6 5  558 828
6 6  1089 1734
6 7  2104 2555
6 8  899 2640
6 9  732 2268
6 10  1535 2749
7 0  1010 1819
7 1  594 1357
7 2  1157 2146
7 3  1611 2218
7 4  1103 2002
7 5  839 2016
7 6  846 1414
7 7  327 1503
7 8  663 2009
7 9  1943 3511
7 10  1544 3018
8 0  717 1697
8 1  891 1530
8 2  1401 2852
8 3  365 1428
8 4  1266 2258
8 5  1316 2225
8 6  2345 2972
8 7  954 2165
8 8  1121 2025
8 9  932 2379
8 10  1372 2842
9 0  1187 1848
9 1  1012 1780
9 2  665 1398
9 3  1573 3330
9 4  1545 2362
9 5  960 2621
9 6  645 1753
9 7  1149 1891
9 8  835 1929
9 9  1195 2129
9 10  1576 3450
10 0  1343 2268
10 1  777 1812
10 2  997 2100
10 3  969 1944
10 4  292 1359
10 5  876 1526
10 6  639 1991
10 7  943 1979
10 8  1590 2771
10 9  1393 2814
10 10  1055 2369
