0 0  666 1659
0 1  540 887
0 2  450 1440
0 3  1196 2140
0 4  1455 2246
0 5  679 1372
0 6  1254 1730
0 7  1436 2313
0 8  880 1796
0 9  942 1405
0 10  957 1676
1 0  1129 2066
1 1  934 2300
1 2  819 1313
1 3  929 1573
1 4  1044 2038
1 5  1951 2650
1 6  1777 2493
1 7  1017 2198
1 8  1466 2204
1 9  727 1232
1 10  1000 1602
2 0  1097 1998
2 1  672 1691
2 2  878 1711
2 3  929 1886
2 4  1925 2277
2 5  415 1385
2 6  598 1208
2 7  718 2069
2 8  583 1397
2 9  1121 2037
2 10  1314 2482
3 0  836 1542
3 1  1089 2138
3 2  796 1790
3 3  1737 2808
3 4  741 1073
3 5  743 1859
3 6  1262 2049
3 7  1045 1565
3 8  1162 2058
3 9  929 1503
3 10  1743 2671
4 0  1516 2098
4 1  765 1303
4 2  567 1375
4 3  472 1596
4 4  1271 2114
4 5  300 885
4 6  903 1530
4 7  887 1728
4 8  854 1770
4 9  1019 2105
4 10  1256 3164
5 0  1090 1938
5 1  868 1343
5 2  1087 1812
5 3  655 1248
5 4  1332 1858
5 5  1143 1643
5 6  972 1435
5 7  810 1856
5 8  830 1624
5 9  1209 2285
5 10  1662 2480
6 0  570 1199
6 1  603 1461
6 2  1358 1958
6 3  1099 2079
6 4  736 1770
6 5  1075 1708
6 6  998 1353
6 7  534 1189
6 8  734 1903
6 9  1663 3176
6 10  1497 3326
7 0  1544 2982
7 1  501 1017
7 2  1289 2121
7 3  858 1435
7 4  941 1606
7 5  552 1422
7 6  1269 2085
7 7  884 2099
7 8  849 2227
7 9  1208 3125
7 10  1544 2131
8 0  2189 3003
8 1  1107 1796
8 2  1239 2139
8 3  1162 2439
8 4  612 901
8 5  1266 1728
8 6  966 1941
8 7  1537 2769
8 8  1048 1991
8 9  984 2218
8 10  1308 2993
9 0  1613 3260
9 1  1114 1957
9 2  1912 2528
9 3  837 2393
9 4  520 1596
9 5  1352 2381
9 6  1035 1902
9 7  753 1683
9 8  1152 1859
9 9  1088 1963
9 10  1828 3618
10 0  996 2123
10 1  716 2651
10 2  1201 2068
10 3  1291 2604
10 4  505 3131
10 5  1206 2145
10 6  1232 2566
10 7  1194 2200
10 8  465 2046
10 9  1675 3186
10 10  1085 2382
