0 0  1794 2475
0 1  870 1252
0 2  1443 2635
0 3  1023 1505
0 4  765 1566
0 5  1114 2359
0 6  1301 2086
0 7  1143 1719
0 8  616 1348
0 9  2014 3474
0 10  600 1213
1 0  1393 1928
1 1  1097 1635
1 2  866 1560
1 3  659 1293
1 4  655 1581
1 5  673 1545
1 6  1629 2765
1 7  1511 2257
1 8  1290 2469
1 9  919 1947
1 10  787 2088
2 0  905 1560
2 1  776 1438
2 2  672 1077
2 3  451 1011
2 4  1283 2143
2 5  1356 2257
2 6  965 1560
2 7  930 1200
2 8  932 1545
2 9  1021 2010
2 10  831 1580
3 0  784 1399
3 1  652 1296
3 2  1374 1892
3 3  1191 1773
3 4  540 1157
3 5  598 1410
3 6  1332 2111
3 7  889 1412
3 8  594 1503
3 9  1049 2053
3 10  1580 3227
4 0  786 1822
4 1  505 1631
4 2  912 2018
4 3  369 1085
4 4  1518 2191
4 5  804 1665
4 6  1458 2183
4 7  989 2004
4 8  1338 2321
4 9  715 2175
4 10  1160 2035
5 0  495 1085
5 1  1048 1772
5 2  1290 1932
5 3  667 1625
5 4  1323 2213
5 5  747 1248
5 6  1211 1863
5 7  1152 2241
5 8  735 1441
5 9  1134 2790
5 10  1810 2603
6 0  830 1800
6 1  1106 1798
6 2  901 2015
6 3  1258 2042
6 4  1187 2273
6 5  1173 2093
6 6  424 1372
6 7  698 1646
6 8  1038 2213
6 9  1971 2790
6 10  953 1945
7 0  489 1656
7 1  793 1759
7 2  419 1083
7 3  1202 2365
7 4  930 1609
7 5  1447 2538
7 6  1252 2184
7 7  731 1719
7 8  1185 2032
7 9  690 1668
7 10  1119 2719
8 0  611 1221
8 1  641 1379
8 2  975 2118
8 3  979 1568
8 4  993 1722
8 5  1367 2164
8 6  1762 2290
8 7  878 1628
8 8  763 2062
8 9  1929 3687
8 10  1024 3233
9 0  852 1929
9 1  1207 2465
9 2  1284 2544
9 3  1684 2038
9 4  1530 2230
9 5  929 1476
9 6  733 1768
9 7  663 1250
9 8  680 1486
9 9  1105 2581
9 10  1972 2975
10 0  1436 3324
10 1  840 1477
10 2  435 1335
10 3  1135 2056
10 4  436 1481
10 5  1413 2465
10 6  1522 3040
10 7  1172 2723
10 8  1733 2896
10 9  1439 2998
10 10  2083 5022
