0 0  1368 2031
0 1  1078 1692
0 2  1338 2035
0 3  1638 2583
0 4  513 1146
0 5  1381 1611
0 6  546 1057
0 7  778 1213
0 8  931 2124
0 9  669 1309
0 10  693 1188
1 0  863 2657
1 1  879 1699
1 2  805 1674
1 3  1275 1887
1 4  567 1005
1 5  675 1620
1 6  1178 1875
1 7  997 2047
1 8  1447 2355
1 9  1289 2504
1 10  818 1935
2 0  891 2220
2 1  1273 1930
2 2  1199 2410
2 3  723 1334
2 4  1401 2103
2 5  1081 1916
2 6  1054 1602
2 7  1517 2184
2 8  519 1626
2 9  865 1973
2 10  1376 1948
3 0  981 1728
3 1  934 1494
3 2  1101 1725
3 3  930 1532
3 4  1077 1481
3 5  860 1403
3 6  1076 1476
3 7  1087 2506
3 8  700 1945
3 9  606 1376
3 10  1279 2529
4 0  925 1346
4 1  1097 2681
4 2  737 1734
4 3  587 1165
4 4  1152 1799
4 5  912 1227
4 6  987 1514
4 7  1134 1687
4 8  544 1962
4 9  1228 2011
4 10  1077 1863
5 0  1381 2243
5 1  1678 2352
5 2  901 2209
5 3  701 1386
5 4  770 1758
5 5  731 1231
5 6  536 1016
5 7  451 1394
5 8  1362 2388
5 9  831 1320
5 10  1140 2001
6 0  984 1596
6 1  758 1254
6 2  977 1405
6 3  848 1177
6 4  688 1388
6 5  1010 1813
6 6  1306 2200
6 7  707 1213
6 8  1300 2476
6 9  1329 2157
6 10  1816 2708
7 0  465 1293
7 1  1598 2602
7 2  1603 2546
7 3  1074 1478
7 4  1126 1506
7 5  1190 2276
7 6  876 2160
7 7  1006 1437
7 8  395 1174
7 9  1432 2331
7 10  1133 2269
8 0  1675 2471
8 1  659 1750
8 2  1171 1955
8 3  769 1943
8 4  1196 1677
8 5  614 1835
8 6  927 1986
8 7  482 1910
8 8  1103 1945
8 9  969 1606
8 10  865 2456
9 0  601 1701
9 1  1130 2520
9 2  1395 2116
9 3  864 1917
9 4  793 1738
9 5  1085 2297
9 6  610 2120
9 7  1203 1756
9 8  512 1037
9 9  669 1564
9 10  759 2213
10 0  1698 3306
10 1  1652 3275
10 2  1376 2705
10 3  1027 1985
10 4  1040 2445
10 5  331 1591
10 6  858 1507
10 7  1458 1932
10 8  760 2013
10 9  1040 3307
10 10  981 1781
