0 0  612 1356
0 1  874 1482
0 2  1361 2193
0 3  728 1382
0 4  694 1315
0 5  471 892
0 6  754 1706
0 7  1016 1806
0 8  485 1253
0 9  1086 1823
0 10  905 1567
1 0  782 1600
1 1  606 1289
1 2  594 1266
1 3  816 1566
1 4  958 1750
1 5  647 1670
1 6  838 1595
1 7  1904 2715
1 8  576 1108
1 9  1165 1964
1 10  712 1533
2 0  860 2349
2 1  1361 1875
2 2  685 1305
2 3  1174 1857
2 4  1771 2575
2 5  902 1765
2 6  1173 2156
2 7  2044 2638
2 8  657 2258
2 9  1642 2854
2 10  1772 2526
3 0  1031 1723
3 1  561 1155
3 2  993 1554
3 3  507 1197
3 4  901 1401
3 5  424 1181
3 6  945 2226
3 7  1233 2165
3 8  1055 1519
3 9  1081 1880
3 10  973 1427
4 0  778 1374
4 1  1331 1708
4 2  1009 1554
4 3  884 1711
4 4  432 939
4 5  925 1297
4 6  1097 1978
4 7  987 1500
4 8  579 2222
4 9  1824 2961
4 10  948 1532
5 0  561 1115
5 1  981 1350
5 2  989 1775
5 3  1600 2185
5 4  1040 1708
5 5  531 1082
5 6  336 1063
5 7  718 1444
5 8  1188 2269
5 9  1086 1952
5 10  3292 5018
6 0  797 1696
6 1  466 1472
6 2  899 1237
6 3  641 1429
6 4  1165 1699
6 5  825 1472
6 6  824 1335
6 7  1833 3069
6 8  1032 2441
6 9  972 2157
6 10  1535 2275
7 0  566 1552
7 1  563 1181
7 2  386 2006
7 3  1596 2059
7 4  807 1424
7 5  969 1640
7 6  753 2397
7 7  960 1591
7 8  1068 2608
7 9  1492 2516
7 10  744 2177
8 0  592 1183
8 1  554 2043
8 2  794 1413
8 3  1199 1858
8 4  1161 1759
8 5  1245 2320
8 6  829 1664
8 7  1023 1632
8 8  1414 2926
8 9  1081 2172
8 10  1575 2764
9 0  1214 1798
9 1  1514 1866
9 2  1479 2285
9 3  1714 2809
9 4  1495 2171
9 5  1199 2000
9 6  844 1531
9 7  997 1654
9 8  845 1996
9 9  1441 2856
9 10  1436 3227
10 0  2513 3574
10 1  672 2016
10 2  827 1618
10 3  915 2092
10 4  1447 2600
10 5  584 1965
10 6  1090 1837
10 7  1211 2314
10 8  1168 2208
10 9  1809 3450
10 10  1425 3011
