0 0  733 1428
0 1  1228 2079
0 2  830 1981
0 3  832 1570
0 4  917 1939
0 5  813 1159
0 6  1430 2353
0 7  725 1484
0 8  1459 2275
0 9  605 1248
0 10  1286 2253
1 0  612 1031
1 1  615 1265
1 2  1123 1398
1 3  1127 1665
1 4  1216 1708
1 5  860 1617
1 6  1076 1889
1 7  548 1581
1 8  1119 2093
1 9  1175 1875
1 10  1124 1981
2 0  830 1809
2 1  859 1305
2 2  1077 1771
2 3  1422 2216
2 4  859 1559
2 5  449 1131
2 6  1331 2310
2 7  1772 2434
2 8  1707 3141
2 9  953 2212
2 10  1561 2475
3 0  968 1328
3 1  912 1715
3 2  1250 1889
3 3  509 1122
3 4  780 1302
3 5  987 1593
3 6  748 1311
3 7  1198 2298
3 8  885 1992
3 9  1324 2605
3 10  864 1845
4 0  1616 2418
4 1  1570 2255
4 2  748 1721
4 3  539 1053
4 4  892 1394
4 5  1072 1551
4 6  1150 1956
4 7  503 1084
4 8  1151 2069
4 9  1174 2017
4 10  1858 2434
5 0  893 1601
5 1  497 833
5 2  953 1598
5 3  696 1686
5 4  1017 1565
5 5  551 1680
5 6  936 1850
5 7  582 1612
5 8  790 2308
5 9  758 2088
5 10  1745 3378
6 0  698 2024
6 1  1218 2253
6 2  697 2328
6 3  755 1334
6 4  870 1493
6 5  496 1339
6 6  678 1477
6 7  2227 2835
6 8  1292 2301
6 9  1350 2279
6 10  1594 1990
7 0  1167 1780
7 1  1166 2022
7 2  808 1482
7 3  1318 1860
7 4  646 1584
7 5  350 1029
7 6  918 2016
7 7  2041 2421
7 8  903 2062
7 9  2413 3539
7 10  1210 2209
8 0  1088 1713
8 1  996 2221
8 2  464 1347
8 3  857 2421
8 4  880 1949
8 5  1134 2548
8 6  860 1523
8 7  828 1835
8 8  1196 2344
8 9  1809 3059
8 10  1392 2123
9 0  563 1357
9 1  540 2182
9 2  1066 1938
9 3  1223 2068
9 4  922 1855
9 5  643 1472
9 6  1086 1869
9 7  1304 2560
9 8  895 2654
9 9  1690 2824
9 10  1340 2451
10 0  1141 2455
10 1  549 1568
10 2  1268 2320
10 3  1256 2332
10 4  1424 2474
10 5  862 1747
10 6  1167 2885
10 7  1099 1906
10 8  1269 2241
10 9  1728 2880
10 10  1757 3888
