0 0  844 1542
0 1  583 1476
0 2  650 1201
0 3  1027 1575
0 4  616 1538
0 5  768 1707
0 6  1078 1561
0 7  416 1718
0 8  1155 1899
0 9  1140 1756
0 10  903 1540
1 0  695 1390
1 1  608 986
1 2  507 915
1 3  1271 1832
1 4  446 1269
1 5  697 1196
1 6  566 1451
1 7  646 1194
1 8  642 1334
1 9  584 2637
1 10  1026 1916
2 0  961 1609
2 1  1040 1982
2 2  1189 1714
2 3  1012 1296
2 4  1144 1629
2 5  972 1867
2 6  1106 1730
2 7  569 1492
2 8  1172 2505
2 9  1531 2077
2 10  1024 1694
3 0  1092 1848
3 1  1012 1775
3 2  542 1250
3 3  867 1612
3 4  1269 1940
3 5  1079 2044
3 6  379 941
3 7  754 1559
3 8  1224 2097
3 9  1630 2368
3 10  1232 2223
4 0  1014 1456
4 1  909 1276
4 2  1483 2019
4 3  1261 2058
4 4  1342 1728
4 5  1067 1757
4 6  1258 2171
4 7  1279 2719
4 8  696 1968
4 9  782 1473
4 10  911 1819
5 0  571 1349
5 1  1352 2075
5 2  893 1580
5 3  761 1066
5 4  1073 2918
5 5  951 1502
5 6  912 1656
5 7  1104 1775
5 8  808 2044
5 9  1706 3630
5 10  1326 2279
6 0  1038 2072
6 1  617 1785
6 2  1296 2733
6 3  1243 2031
6 4  1238 1678
6 5  1578 2220
6 6  724 1184
6 7  631 1548
6 8  1395 2318
6 9  917 1676
6 10  980 2099
7 0  1260 2619
7 1  713 1704
7 2  662 1583
7 3  1623 2675
7 4  723 1412
7 5  1158 1786
7 6  1531 2238
7 7  2035 2501
7 8  1152 2460
7 9  1746 2892
7 10  1610 2103
8 0  878 2010
8 1  754 2560
8 2  1320 3059
8 3  1585 2674
8 4  562 1129
8 5  1116 2253
8 6  1116 1565
8 7  836 2022
8 8  1083 1760
8 9  861 1942
8 10  942 2607
9 0  944 2802
9 1  1586 2832
9 2  960 1553
9 3  685 1479
9 4  691 1346
9 5  1027 2135
9 6  868 1549
9 7  1005 1991
9 8  723 1178
9 9  1115 2227
9 10  992 2564
10 0  1560 2894
10 1  1277 2962
10 2  1824 2838
10 3  1399 2068
10 4  1547 2165
10 5  868 2288
10 6  1295 3483
10 7  1453 2205
10 8  1238 3150
10 9  1359 3787
10 10  1058 2039
