0 0  557 1024
0 1  510 933
0 2  1017 1594
0 3  991 2277
0 4  816 1649
0 5  1421 2682
0 6  1400 1857
0 7  743 1596
0 8  1091 1586
0 9  1082 2013
0 10  717 2023
1 0  659 1430
1 1  787 1242
1 2  677 1317
1 3  1159 1536
1 4  446 1486
1 5  998 1997
1 6  1349 2260
1 7  626 1275
1 8  648 1584
1 9  1744 2616
1 10  1534 2371
2 0  457 1356
2 1  1218 1861
2 2  1085 1817
2 3  1178 1669
2 4  541 1411
2 5  1624 2167
2 6  627 1430
2 7  652 1853
2 8  1838 2414
2 9  1246 2574
2 10  1186 2775
3 0  549 1126
3 1  549 1195
3 2  599 1535
3 3  946 1569
3 4  451 1112
3 5  859 1444
3 6  684 1750
3 7  735 1294
3 8  826 1697
3 9  825 2100
3 10  1347 2098
4 0  1174 2589
4 1  770 2051
4 2  2136 2926
4 3  1055 1698
4 4  630 1404
4 5  331 841
4 6  877 1413
4 7  734 1235
4 8  682 1654
4 9  1118 2041
4 10  1236 1767
5 0  793 1448
5 1  2040 2982
5 2  933 1799
5 3  758 1349
5 4  679 1382
5 5  946 1490
5 6  806 1506
5 7  808 1782
5 8  981 1796
5 9  983 1738
5 10  1886 2906
6 0  1378 2037
6 1  1046 1742
6 2  563 1502
6 3  959 1529
6 4  754 1415
6 5  929 1384
6 6  934 2104
6 7  711 1833
6 8  781 1567
6 9  1639 2841
6 10  1350 2327
7 0  654 2358
7 1  908 1389
7 2  741 1397
7 3  1146 1560
7 4  576 1295
7 5  660 1912
7 6  1269 2758
7 7  1130 2173
7 8  1192 2505
7 9  1477 3004
7 10  1809 3997
8 0  693 1345
8 1  835 1802
8 2  1199 2317
8 3  907 1577
8 4  911 1854
8 5  828 1380
8 6  1407 2192
8 7  2227 2625
8 8  1126 2188
8 9  964 3244
8 10  858 2364
9 0  1598 2878
9 1  1478 2900
9 2  969 1341
9 3  844 1857
9 4  1543 2765
9 5  491 1228
9 6  933 2199
9 7  788 1396
9 8  2316 3454
9 9  922 3058
9 10  2152 2938
10 0  1164 2325
10 1  1433 2160
10 2  1064 2178
10 3  1210 1851
10 4  1062 1995
10 5  687 1638
10 6  1241 2863
10 7  1401 2358
10 8  463 2418
10 9  1638 2308
10 10  1436 3486
