0 0  959 2070
0 1  1243 2241
0 2  1080 1727
0 3  650 1681
0 4  1006 1434
0 5  555 1334
0 6  1473 1973
0 7  885 2039
0 8  659 1285
0 9  1097 1983
0 10  884 2383
1 0  1258 1915
1 1  596 1433
1 2  814 1401
1 3  1378 1971
1 4  1291 2493
1 5  1219 1812
1 6  809 2474
1 7  1161 2073
1 8  645 1638
1 9  1592 2124
1 10  752 1857
2 0  546 1370
2 1  1244 2476
2 2  839 1350
2 3  1275 1663
2 4  1163 2065
2 5  887 1576
2 6  1117 1693
2 7  1288 1915
2 8  1885 2554
2 9  1990 2750
2 10  1058 1665
3 0  483 1184
3 1  1810 2506
3 2  641 1329
3 3  692 1444
3 4  1185 1750
3 5  400 1182
3 6  793 1766
3 7  962 1704
3 8  1082 1503
3 9  826 1318
3 10  1966 3006
4 0  1662 3220
4 1  940 1683
4 2  396 984
4 3  982 1690
4 4  1039 2223
4 5  751 1408
4 6  734 1360
4 7  1270 2352
4 8  1142 2527
4 9  1012 2860
4 10  1419 2577
5 0  1234 1759
5 1  1068 1521
5 2  825 1666
5 3  1037 1597
5 4  951 1412
5 5  1082 1681
5 6  989 1770
5 7  798 1799
5 8  1238 2808
5 9  903 1758
5 10  1009 2682
6 0  2031 2896
6 1  1928 2639
6 2  423 1031
6 3  752 1452
6 4  1295 2035
6 5  1371 2280
6 6  1017 1934
6 7  1274 1778
6 8  991 1371
6 9  1105 1975
6 10  759 2049
7 0  1594 2385
7 1  819 1507
7 2  902 1447
7 3  431 1004
7 4  873 1746
7 5  1016 2182
7 6  1796 2694
7 7  711 1764
7 8  800 1489
7 9  809 1602
7 10  753 1827
8 0  1457 2084
8 1  519 1254
8 2  688 1737
8 3  831 1410
8 4  966 1999
8 5  986 2282
8 6  1126 1740
8 7  400 747
8 8  1289 2046
8 9  530 1791
8 10  1583 2335
9 0  744 2428
9 1  1454 3256
9 2  814 1548
9 3  739 1743
9 4  1067 1711
9 5  777 1355
9 6  628 2175
9 7  1167 1544
9 8  1065 2024
9 9  843 2856
9 10  1194 2464
10 0  1862 2720
10 1  1049 2404
10 2  1044 2155
10 3  918 2058
10 4  1218 2094
10 5  1154 2147
10 6  1049 1910
10 7  1209 1993
10 8  1209 2422
10 9  1612 3023
10 10  1161 3709
