0 0  690 1677
0 1  1269 1738
0 2  924 1612
0 3  865 1763
0 4  1097 2144
0 5  524 1106
0 6  1236 1862
0 7  1073 1766
0 8  829 1817
0 9  910 1525
0 10  1272 1744
1 0  625 1398
1 1  1309 1779
1 2  1488 2392
1 3  1140 1800
1 4  412 831
1 5  996 1598
1 6  1269 2136
1 7  1694 2502
1 8  739 2026
1 9  530 1193
1 10  1708 2245
2 0  799 1773
2 1  478 1133
2 2  794 1415
2 3  1336 1843
2 4  531 1181
2 5  1039 1718
2 6  1210 2125
2 7  1047 1564
2 8  1666 2778
2 9  847 1648
2 10  688 1410
3 0  1911 2371
3 1  1581 2373
3 2  639 1231
3 3  1142 1731
3 4  1037 1505
3 5  808 1480
3 6  817 1500
3 7  1019 1958
3 8  938 2143
3 9  989 2373
3 10  938 2033
4 0  1237 2365
4 1  1322 1991
4 2  796 1392
4 3  1295 2616
4 4  1173 1859
4 5  933 1859
4 6  173 954
4 7  553 1484
4 8  1420 1863
4 9  1117 2843
4 10  1229 2404
5 0  807 1453
5 1  948 1707
5 2  692 1070
5 3  731 1534
5 4  844 1430
5 5  1077 1706
5 6  464 1173
5 7  1333 3029
5 8  814 1826
5 9  991 2092
5 10  1485 2817
6 0  1154 2039
6 1  1378 2770
6 2  626 1275
6 3  766 1673
6 4  873 1527
6 5  973 2166
6 6  707 1290
6 7  771 1932
6 8  1128 2049
6 9  1116 1947
6 10  1211 2279
7 0  534 994
7 1  1059 1882
7 2  1168 2800
7 3  1025 1556
7 4  1258 2659
7 5  624 2031
7 6  862 1381
7 7  1295 1733
7 8  985 2347
7 9  1835 2696
7 10  1342 2320
8 0  1290 3210
8 1  414 1500
8 2  626 1554
8 3  910 1528
8 4  687 1438
8 5  470 2897
8 6  813 1847
8 7  622 1525
8 8  847 1636
8 9  940 1812
8 10  2542 3436
9 0  977 2590
9 1  1811 3075
9 2  704 1355
9 3  1020 1525
9 4  658 1580
9 5  1162 1760
9 6  992 1801
9 7  1083 2031
9 8  751 2335
9 9  1695 2798
9 10  1645 2434
10 0  1423 2462
10 1  377 1723
10 2  574 1176
10 3  674 1750
10 4  1703 2921
10 5  1011 2559
10 6  925 2631
10 7  1012 2397
10 8  897 3635
10 9  1294 2974
10 10  862 3034
