0 0  1398 2476
0 1  996 1977
0 2  1312 1855
0 3  888 1859
0 4  635 2133
0 5  534 1589
0 6  1071 2226
0 7  1255 1863
0 8  1028 2098
0 9  975 2044
0 10  969 1824
1 0  929 1823
1 1  1061 1791
1 2  1416 2505
1 3  742 1634
1 4  634 1596
1 5  705 1726
1 6  725 1444
1 7  793 1412
1 8  831 1987
1 9  1005 1797
1 10  1425 1941
2 0  764 1617
2 1  677 1982
2 2  679 1158
2 3  831 1261
2 4  1014 1512
2 5  632 1630
2 6  885 1587
2 7  1119 1833
2 8  714 2045
2 9  629 2383
2 10  943 1668
3 0  970 1642
3 1  970 1394
3 2  992 1506
3 3  722 1427
3 4  514 1339
3 5  977 1718
3 6  1003 1628
3 7  1408 1861
3 8  1117 1568
3 9  1284 2159
3 10  1645 2451
4 0  960 1985
4 1  1076 1680
4 2  1224 2049
4 3  1010 1612
4 4  1409 2165
4 5  767 1430
4 6  965 1676
4 7  569 1680
4 8  1408 2806
4 9  645 2294
4 10  1670 2881
5 0  1147 1818
5 1  719 1676
5 2  1054 1582
5 3  1107 1995
5 4  624 1551
5 5  507 1309
5 6  506 973
5 7  1448 2406
5 8  815 1615
5 9  1100 2698
5 10  1453 2101
6 0  1635 2558
6 1  1113 2433
6 2  505 1504
6 3  532 1079
6 4  761 1499
6 5  977 1582
6 6  832 1713
6 7  854 1786
6 8  1389 1972
6 9  851 2119
6 10  968 1852
7 0  842 2433
7 1  1288 2687
7 2  665 1838
7 3  1137 1889
7 4  573 1404
7 5  854 1259
7 6  1571 1878
7 7  1057 1876
7 8  999 1801
7 9  2564 3748
7 10  1756 2634
8 0  1374 1775
8 1  772 2028
8 2  558 1066
8 3  1003 1814
8 4  1259 1783
8 5  639 1301
8 6  1357 1796
8 7  764 1762
8 8  753 1596
8 9  1073 2145
8 10  336 2299
9 0  565 1515
9 1  958 1675
9 2  545 1751
9 3  1286 3065
9 4  1247 1994
9 5  1557 2214
9 6  1185 1958
9 7  1021 2652
9 8  821 2083
9 9  930 2750
9 10  1567 2653
10 0  938 1676
10 1  823 2584
10 2  791 1627
10 3  1664 2518
10 4  1389 2572
10 5  1588 2155
10 6  1222 2997
10 7  1593 2533
10 8  821 1684
10 9  1022 3182
10 10  1527 4148
