0 0  982 1525
0 1  1480 2280
0 2  753 1377
0 3  870 1823
0 4  893 1656
0 5  1079 1828
0 6  627 1004
0 7  904 1876
0 8  843 1745
0 9  512 1194
0 10  916 1921
1 0  1114 1723
1 1  631 1464
1 2  979 1701
1 3  551 1414
1 4  582 1124
1 5  898 1439
1 6  1637 2394
1 7  658 1511
1 8  703 1575
1 9  1006 1702
1 10  740 1294
2 0  1306 1772
2 1  800 1225
2 2  907 1591
2 3  929 1711
2 4  768 1246
2 5  1038 1926
2 6  595 1442
2 7  764 1600
2 8  1312 2168
2 9  644 1453
2 10  1726 2564
3 0  1261 2190
3 1  607 1719
3 2  681 1312
3 3  1345 2003
3 4  1024 1353
3 5  1791 2346
3 6  490 1296
3 7  1045 2102
3 8  860 1227
3 9  1064 2430
3 10  720 1422
4 0  788 1767
4 1  556 885
4 2  460 923
4 3  1412 2229
4 4  1309 1993
4 5  901 1717
4 6  1086 1938
4 7  520 1171
4 8  1178 1733
4 9  655 1745
4 10  1164 2822
5 0  438 1013
5 1  1620 2080
5 2  708 1618
5 3  657 1146
5 4  971 1549
5 5  889 1402
5 6  1379 1850
5 7  523 1681
5 8  1563 2508
5 9  1310 1837
5 10  2141 3550
6 0  670 1556
6 1  1109 1826
6 2  1136 1889
6 3  977 1612
6 4  1023 1683
6 5  829 1643
6 6  691 1540
6 7  1367 3233
6 8  1379 1802
6 9  894 1267
6 10  1310 2447
7 0  613 1352
7 1  1021 1827
7 2  986 2881
7 3  840 1450
7 4  882 2010
7 5  652 2130
7 6  1063 2190
7 7  1251 2423
7 8  909 2350
7 9  1031 1988
7 10  2076 2948
8 0  679 1395
8 1  1454 2477
8 2  1159 1817
8 3  693 1409
8 4  1146 2124
8 5  814 1708
8 6  1423 1929
8 7  1603 2210
8 8  939 1488
8 9  1835 2467
8 10  1656 3160
9 0  942 1463
9 1  1306 2610
9 2  702 1248
9 3  787 1284
9 4  1366 2383
9 5  696 1082
9 6  1012 1861
9 7  578 1806
9 8  1579 2695
9 9  1404 2603
9 10  1624 2527
10 0  1145 1942
10 1  1034 1643
10 2  1274 3020
10 3  548 1293
10 4  1668 2894
10 5  1142 2542
10 6  1425 2598
10 7  1222 1769
10 8  892 1603
10 9  1244 3241
10 10  1336 4153
