0 0  899 1787
0 1  880 1565
0 2  548 1861
0 3  891 1819
0 4  970 1463
0 5  814 1744
0 6  872 1942
0 7  985 2000
0 8  1565 2795
0 9  1127 1967
0 10  834 1405
1 0  587 1004
1 1  1119 1992
1 2  704 1381
1 3  933 1781
1 4  1159 1679
1 5  782 1877
1 6  545 2168
1 7  1391 1927
1 8  642 1034
1 9  852 1311
1 10  1783 2959
2 0  638 1284
2 1  771 1766
2 2  551 1432
2 3  597 1735
2 4  959 1545
2 5  903 1781
2 6  550 1522
2 7  920 1676
2 8  1246 2127
2 9  1177 1841
2 10  1729 3036
3 0  1370 1895
3 1  712 1374
3 2  656 1891
3 3  1079 1643
3 4  1447 2068
3 5  1035 1636
3 6  1143 1911
3 7  1517 2305
3 8  773 1546
3 9  1259 2009
3 10  1671 2450
4 0  1081 1552
4 1  792 1440
4 2  1423 1952
4 3  577 1079
4 4  1072 1830
4 5  687 1769
4 6  853 1976
4 7  1506 2148
4 8  824 1910
4 9  917 1723
4 10  1079 2475
5 0  362 1651
5 1  1523 2341
5 2  934 1528
5 3  878 1804
5 4  855 1597
5 5  268 2064
5 6  878 1461
5 7  1386 1967
5 8  1217 2824
5 9  1017 1885
5 10  1585 2401
6 0  1543 2161
6 1  1347 2238
6 2  1026 1779
6 3  527 1088
6 4  736 1627
6 5  555 1179
6 6  829 1433
6 7  1031 1667
6 8  1139 2195
6 9  1454 2695
6 10  1585 3032
7 0  1028 2251
7 1  929 1403
7 2  609 1128
7 3  708 1423
7 4  847 1529
7 5  431 1466
7 6  756 1421
7 7  1080 2344
7 8  1219 2225
7 9  909 2472
7 10  2086 2993
8 0  603 1290
8 1  1020 1997
8 2  1405 2195
8 3  737 1594
8 4  980 1761
8 5  1303 2731
8 6  724 1505
8 7  1062 2067
8 8  843 2166
8 9  545 1958
8 10  919 3787
9 0  1059 2030
9 1  421 975
9 2  995 1457
9 3  1476 2320
9 4  950 1850
9 5  819 1774
9 6  725 1985
9 7  948 2432
9 8  449 710
9 9  780 3554
9 10  1673 3082
10 0  807 2318
10 1  1233 2838
10 2  901 2686
10 3  1069 3199
10 4  698 3081
10 5  838 1596
10 6  601 2385
10 7  1402 1993
10 8  617 1880
10 9  1948 3888
10 10  1562 2973
