0 0  1608 2014
0 1  1222 2082
0 2  958 2024
0 3  829 1511
0 4  564 988
0 5  839 1215
0 6  1691 2607
0 7  1265 2027
0 8  1099 2015
0 9  896 1399
0 10  754 2377
1 0  822 1459
1 1  824 1671
1 2  1095 1630
1 3  522 1196
1 4  931 1309
1 5  489 1079
1 6  1342 2026
1 7  570 878
1 8  729 1621
1 9  790 2176
1 10  948 1819
2 0  755 1434
2 1  1384 1648
2 2  672 1725
2 3  2049 2816
2 4  1027 1590
2 5  772 1311
2 6  561 1853
2 7  501 1071
2 8  434 1169
2 9  930 1981
2 10  1436 2042
3 0  955 1863
3 1  908 1773
3 2  713 1352
3 3  522 954
3 4  463 1098
3 5  660 1025
3 6  1441 2243
3 7  1479 2236
3 8  2112 3920
3 9  1036 1603
3 10  999 2722
4 0  1064 1782
4 1  633 1138
4 2  429 1445
4 3  519 986
4 4  1116 1955
4 5  776 1100
4 6  1285 2151
4 7  910 1876
4 8  795 1196
4 9  1492 2845
4 10  1490 2857
5 0  1724 2881
5 1  915 1634
5 2  364 723
5 3  986 1688
5 4  1178 1833
5 5  753 1500
5 6  726 1333
5 7  980 1777
5 8  870 1704
5 9  831 1808
5 10  696 1282
6 0  950 1387
6 1  920 1649
6 2  744 1463
6 3  964 1719
6 4  646 1546
6 5  1002 1701
6 6  1053 1980
6 7  627 2326
6 8  851 1783
6 9  885 2776
6 10  784 1153
7 0  673 1870
7 1  1244 2274
7 2  880 1511
7 3  508 1001
7 4  1030 1837
7 5  979 2030
7 6  1671 2313
7 7  681 1582
7 8  928 1791
7 9  1009 1825
7 10  2145 3105
8 0  917 2613
8 1  714 2163
8 2  1069 1970
8 3  968 1902
8 4  710 1324
8 5  1228 2464
8 6  1353 2102
8 7  828 1454
8 8  540 846
8 9  962 1881
8 10  1801 3169
9 0  702 1459
9 1  1104 2176
9 2  437 1824
9 3  582 1193
9 4  940 1533
9 5  1037 1876
9 6  1048 2277
9 7  735 1898
9 8  1852 2370
9 9  886 1891
9 10  1059 4407
10 0  1869 3422
10 1  767 2050
10 2  1435 2214
10 3  1275 2124
10 4  572 2522
10 5  754 1945
10 6  2310 3580
10 7  410 1780
10 8  1079 3018
10 9  1776 3612
10 10  2101 3664
