0 0  985 1637
0 1  431 1385
0 2  629 1358
0 3  1650 2232
0 4  1189 2363
0 5  1680 2548
0 6  674 1661
0 7  1051 1621
0 8  888 1656
0 9  1173 2227
0 10  679 1228
1 0  870 1498
1 1  837 1336
1 2  426 1200
1 3  918 1524
1 4  1354 2005
1 5  1243 1932
1 6  923 1459
1 7  646 1557
1 8  1620 2133
1 9  1698 2263
1 10  1343 2563
2 0  641 1261
2 1  1172 2043
2 2  1157 1614
2 3  997 1651
2 4  526 1434
2 5  768 1496
2 6  1105 1816
2 7  673 1366
2 8  886 1898
2 9  1274 2309
2 10  1758 2699
3 0  214 592
3 1  1528 2442
3 2  791 1313
3 3  598 1446
3 4  765 1282
3 5  601 1459
3 6  946 1989
3 7  939 1699
3 8  424 1420
3 9  2053 2644
3 10  1844 2987
4 0  1057 1963
4 1  1203 2221
4 2  1085 1614
4 3  595 1370
4 4  822 1429
4 5  677 1003
4 6  829 1574
4 7  1497 2345
4 8  1290 2194
4 9  1063 3016
4 10  568 1119
5 0  1272 2476
5 1  1001 1841
5 2  967 1666
5 3  1517 2197
5 4  301 1076
5 5  770 1521
5 6  1096 1381
5 7  1165 2123
5 8  1069 2531
5 9  1690 2506
5 10  1125 2633
6 0  771 1207
6 1  878 1265
6 2  571 1034
6 3  903 1602
6 4  780 1574
6 5  934 1832
6 6  588 1327
6 7  423 1257
6 8  1532 2313
6 9  965 1800
6 10  1845 2265
7 0  955 1661
7 1  434 701
7 2  696 1404
7 3  636 1392
7 4  985 1785
7 5  562 1690
7 6  1189 1750
7 7  1176 1959
7 8  1732 3104
7 9  606 1612
7 10  1270 2981
8 0  494 976
8 1  1703 1991
8 2  1467 2379
8 3  596 1471
8 4  1755 1966
8 5  1846 2489
8 6  1249 1631
8 7  990 2067
8 8  1175 2538
8 9  513 1936
8 10  1125 2973
9 0  1195 2049
9 1  2091 2932
9 2  712 1549
9 3  559 1543
9 4  923 1681
9 5  877 2838
9 6  1513 2778
9 7  832 1262
9 8  996 2214
9 9  928 2438
9 10  1564 2529
10 0  1184 3323
10 1  2414 4626
10 2  858 2392
10 3  879 1734
10 4  1204 2120
10 5  774 1515
10 6  904 2073
10 7  1617 3082
10 8  794 1806
10 9  1410 2932
10 10  2378 5182
