0 0  966 1679
0 1  1145 1754
0 2  644 1782
0 3  778 1450
0 4  593 1773
0 5  926 1820
0 6  1198 1903
0 7  724 1428
0 8  696 1543
0 9  1105 1850
0 10  2070 3331
1 0  1368 2146
1 1  1199 1891
1 2  630 1168
1 3  1264 1708
1 4  671 1176
1 5  1151 2289
1 6  1207 1690
1 7  820 1202
1 8  733 1539
1 9  1744 2641
1 10  597 1952
2 0  430 1091
2 1  526 911
2 2  1056 1386
2 3  801 1405
2 4  970 1770
2 5  840 1461
2 6  1427 2159
2 7  539 1173
2 8  1141 1960
2 9  725 1696
2 10  448 1585
3 0  1113 1975
3 1  1289 2080
3 2  1236 1861
3 3  819 1575
3 4  1092 1793
3 5  928 1556
3 6  1109 1685
3 7  935 1819
3 8  1036 1618
3 9  769 1802
3 10  844 1937
4 0  1104 2443
4 1  651 1483
4 2  879 1779
4 3  579 1024
4 4  1209 1827
4 5  682 1732
4 6  1194 2017
4 7  864 1398
4 8  1223 1939
4 9  1298 2169
4 10  1977 3434
5 0  1200 1838
5 1  1776 2674
5 2  661 1258
5 3  560 1006
5 4  938 1895
5 5  707 1221
5 6  599 1753
5 7  1437 2478
5 8  953 2054
5 9  548 1503
5 10  2122 4334
6 0  1404 2085
6 1  732 1643
6 2  946 1688
6 3  938 1687
6 4  1216 1982
6 5  1351 1934
6 6  1296 2138
6 7  767 1466
6 8  1601 2530
6 9  795 1653
6 10  1720 3157
7 0  1471 3200
7 1  1150 1671
7 2  863 1764
7 3  559 1074
7 4  1039 1871
7 5  741 1441
7 6  2032 2617
7 7  871 2003
7 8  1097 2616
7 9  1919 2986
7 10  1380 2290
8 0  564 1532
8 1  1380 2227
8 2  1273 2669
8 3  836 1595
8 4  1592 2501
8 5  1157 2392
8 6  482 1545
8 7  563 1363
8 8  887 1694
8 9  1715 2393
8 10  452 2090
9 0  954 1997
9 1  708 1522
9 2  708 1226
9 3  777 1878
9 4  851 1814
9 5  616 1926
9 6  612 1716
9 7  754 1709
9 8  1124 1977
9 9  2158 4296
9 10  2124 3317
10 0  1743 3196
10 1  906 1688
10 2  595 1968
10 3  1027 2382
10 4  1666 2921
10 5  943 1799
10 6  1601 2968
10 7  527 1751
10 8  1518 2818
10 9  1392 2089
10 10  2232 4267
